date,season,home_team,away_team,home_pts,away_pts,home_win,margin
2026-05-26,2017,DEN,POR,113,115,0,2
2026-05-26,2017,CHI,IND,118,101,1,17
2026-05-26,2017,MIL,BRK,110,108,1,2
2026-05-26,2017,PHI,OKC,97,103,0,6
2026-05-26,2017,PHX,SAC,94,113,0,19
2026-05-26,2017,LAL,HOU,120,114,1,6
2026-05-26,2017,ATL,WAS,114,99,1,15
2026-05-26,2017,CHI,BOS,105,99,1,6
2026-05-26,2017,POR,LAC,106,114,0,8
2026-05-26,2017,SAC,SAS,94,102,0,8
2026-05-26,2017,TOR,CLE,91,94,0,3
2026-05-26,2017,BRK,IND,103,94,1,9
2026-05-26,2017,NOP,DEN,102,107,0,5
2026-05-26,2017,DET,ORL,108,82,1,26
2026-05-26,2017,MIA,CHA,91,97,0,6
2026-05-26,2017,DAL,HOU,98,106,0,8
2026-05-26,2017,UTA,LAL,96,89,1,7
2026-05-26,2017,NOP,GSW,114,122,0,8
2026-05-26,2017,PHI,ATL,72,104,0,32
2026-05-26,2017,CHA,BOS,98,104,0,6
2026-05-26,2017,CLE,ORL,105,99,1,6
2026-05-26,2017,NYK,MEM,111,104,1,7
2026-05-26,2017,SAS,NOP,98,79,1,19
2026-05-26,2017,OKC,PHX,113,110,1,3
2026-05-26,2018,LAL,DET,113,93,1,20
2026-05-26,2019,BOS,PHI,105,87,1,18
2026-05-26,2019,GSW,OKC,108,100,1,8
2026-05-26,2020,PHX,SAC,124,95,1,29
2026-05-26,2020,POR,DEN,100,108,0,8
2026-05-26,2020,DET,ATL,100,117,0,17
2026-05-26,2020,HOU,MIL,111,117,0,6
2026-05-26,2020,GSW,LAC,122,141,0,19
2026-05-26,2020,BOS,TOR,112,106,1,6
2026-05-26,2020,CHA,MIN,99,121,0,22
2026-05-26,2020,BRK,NYK,113,109,1,4
2026-05-26,2020,MEM,CHI,102,110,0,8
2026-05-26,2020,NOP,DAL,116,123,0,7
2026-05-26,2020,OKC,WAS,85,97,0,12
2026-05-26,2020,DEN,PHX,108,107,1,1
2026-05-26,2020,SAC,POR,112,122,0,10
2026-05-26,2020,LAL,UTA,95,86,1,9
2026-05-26,2020,MIL,MIA,126,131,0,5
2026-05-26,2020,DET,PHI,111,117,0,6
2026-05-26,2020,ATL,ORL,103,99,1,4
2026-05-26,2020,NYK,BOS,95,118,0,23
2026-05-26,2020,CHI,TOR,84,108,0,24
2026-05-26,2020,UTA,OKC,100,95,1,5
2026-05-26,2020,SAS,NYK,120,111,1,9
2026-05-26,2020,DAL,WAS,108,100,1,8
2026-05-26,2020,PHI,BOS,107,93,1,14
2026-05-26,2019,ORL,SAC,99,107,0,8
2026-05-26,2019,BOS,DET,108,105,1,3
2026-05-26,2019,TOR,PHI,129,112,1,17
2026-05-26,2019,HOU,POR,85,104,0,19
2026-05-26,2019,MEM,WAS,107,95,1,12
2026-05-26,2019,OKC,LAC,128,110,1,18
2026-05-26,2019,BRK,DET,120,119,1,1
2026-05-26,2019,CHI,DEN,107,108,0,1
2026-05-26,2019,MIN,UTA,128,125,1,3
2026-05-26,2020,CLE,IND,110,99,1,11
2026-05-26,2019,NYK,IND,101,107,0,6
2026-05-26,2019,LAL,DAL,114,113,1,1
2026-05-26,2019,PHX,SAS,90,120,0,30
2026-05-26,2020,TOR,NOP,130,122,1,8
2026-05-26,2020,LAC,LAL,112,102,1,10
2026-05-26,2020,CHA,CHI,126,125,1,1
2026-05-26,2020,IND,DET,110,119,0,9
2026-05-26,2020,ORL,CLE,94,85,1,9
2026-05-26,2020,BRK,MIN,126,127,0,1
2026-05-26,2020,MIA,MEM,120,101,1,19
2026-05-26,2019,GSW,NOP,131,121,1,10
2026-05-26,2019,CLE,ATL,136,114,1,22
2026-05-26,2020,HOU,NOP,126,123,1,3
2026-05-26,2020,UTA,SAC,113,81,1,32
2026-05-26,2020,BRK,IND,108,118,0,10
2026-05-26,2020,TOR,DET,125,113,1,12
2026-05-26,2020,OKC,POR,99,102,0,3
2026-05-26,2020,WAS,HOU,158,159,0,1
2026-05-26,2020,SAC,CHA,111,118,0,7
2026-05-26,2020,UTA,LAC,110,96,1,14
2026-05-26,2020,GSW,PHX,110,121,0,11
2026-05-26,2020,ATL,MIA,97,106,0,9
2026-05-26,2020,NOP,DEN,122,107,1,15
2026-05-26,2020,LAC,SAS,103,97,1,6
2026-05-26,2021,BRK,GSW,125,99,1,26
2026-05-26,2021,LAL,LAC,109,116,0,7
2026-05-26,2021,CLE,CHA,121,114,1,7
2026-05-26,2021,IND,NYK,121,107,1,14
2026-05-26,2021,ORL,MIA,113,107,1,6
2026-05-26,2021,PHI,WAS,113,107,1,6
2026-05-26,2021,TOR,NOP,99,113,0,14
2026-05-26,2021,BOS,MIL,122,121,1,1
2026-05-26,2021,CHI,ATL,104,124,0,20
2026-05-26,2020,BOS,MIL,116,105,1,11
2026-05-26,2020,PHI,MIN,117,95,1,22
2026-05-26,2020,ORL,NYK,95,83,1,12
2026-05-26,2020,CLE,CHI,117,111,1,6
2026-05-26,2020,PHX,LAC,130,122,1,8
2026-05-26,2020,OKC,GSW,120,92,1,28
2026-05-26,2020,MEM,BRK,134,133,1,1
2026-05-26,2020,DAL,POR,119,121,0,2
2026-05-26,2020,MIN,MIA,116,109,1,7
2026-05-26,2020,LAL,CHA,120,101,1,19
2026-05-26,2020,NYK,CHI,105,98,1,7
2026-05-26,2020,DET,IND,96,94,1,2
2026-05-26,2020,TOR,ORL,104,95,1,9
2026-05-26,2020,SAS,WAS,124,122,1,2
2026-05-26,2020,ATL,PHI,103,105,0,2
2026-05-26,2020,MIL,CLE,129,112,1,17
2026-05-26,2020,NOP,GSW,123,134,0,11
2026-05-26,2020,SAS,POR,113,110,1,3
2026-05-26,2020,PHX,UTA,95,96,0,1
2026-05-26,2020,SAC,DEN,94,101,0,7
2026-05-26,2020,LAC,CHA,111,96,1,15
2026-05-26,2020,MIA,ATL,112,97,1,15
2026-05-26,2020,DEN,DAL,106,109,0,3
2026-05-26,2020,LAL,MEM,120,91,1,29
2026-05-26,2020,HOU,OKC,116,112,1,4
2026-05-26,2019,CHA,MIA,125,113,1,12
2026-05-26,2019,DEN,NOP,116,111,1,5
2026-05-26,2019,SAS,DAL,113,108,1,5
2026-05-26,2019,WAS,TOR,113,117,0,4
2026-05-26,2019,NYK,BOS,101,103,0,2
2026-05-26,2019,PHI,ORL,116,115,1,1
2026-05-26,2019,CHI,DET,116,118,0,2
2026-05-26,2019,MIA,CHA,112,113,0,1
2026-05-26,2019,DAL,MIN,140,136,1,4
2026-05-26,2019,DEN,PHX,119,91,1,28
2026-05-26,2019,POR,SAS,121,108,1,13
2026-05-26,2019,LAL,HOU,115,124,0,9
2026-05-26,2019,CLE,ATL,111,133,0,22
2026-05-26,2019,OKC,SAC,120,131,0,11
2026-05-26,2019,DEN,GSW,100,98,1,2
2026-05-26,2019,LAC,HOU,115,112,1,3
2026-05-26,2019,BOS,ORL,90,93,0,3
2026-05-26,2019,TOR,CHA,127,106,1,21
2026-05-26,2019,MIL,NYK,124,113,1,11
2026-05-26,2019,MIN,IND,101,91,1,10
2026-05-26,2019,DAL,CHI,115,109,1,6
2026-05-26,2019,UTA,MEM,84,92,0,8
2026-05-26,2019,IND,BRK,132,112,1,20
2026-05-26,2019,UTA,GSW,123,124,0,1
2026-05-26,2019,LAC,OKC,108,92,1,16
2026-05-26,2019,MIL,IND,118,101,1,17
2026-05-26,2019,CHA,MIL,112,113,0,1
2026-05-26,2019,DET,BRK,103,100,1,3
2026-05-26,2019,IND,MEM,111,83,1,28
2026-05-26,2019,ORL,MIA,104,101,1,3
2026-05-26,2019,NYK,ATL,126,107,1,19
2026-05-26,2019,TOR,CLE,116,104,1,12
2026-05-26,2019,HOU,NOP,112,131,0,19
2026-05-26,2019,SAS,MIN,112,108,1,4
2026-05-26,2019,SAC,UTA,117,123,0,6
2026-05-26,2019,POR,WAS,124,125,0,1
2026-05-26,2019,LAC,DEN,98,107,0,9
2026-05-26,2019,PHI,CHI,127,108,1,19
2026-05-26,2019,WAS,MIA,112,113,0,1
2026-05-26,2019,POR,LAL,128,119,1,9
2026-05-26,2019,ORL,CHA,88,120,0,32
2026-05-26,2019,BRK,NYK,107,105,1,2
2026-05-26,2019,MEM,ATL,131,117,1,14
2026-05-26,2019,MIN,CLE,131,123,1,8
2026-05-26,2019,NOP,SAC,149,129,1,20
2026-05-26,2019,TOR,BOS,113,101,1,12
2026-05-26,2019,PHX,DAL,121,100,1,21
2026-05-26,2019,GSW,PHX,123,103,1,20
2026-05-26,2019,LAL,SAS,142,143,0,1
2026-05-26,2019,DET,PHI,133,132,1,1
2026-05-26,2019,DET,BOS,89,109,0,20
2026-05-26,2019,NOP,UTA,111,132,0,21
2026-05-26,2019,ATL,CHI,85,97,0,12
2026-05-26,2019,CLE,IND,107,119,0,12
2026-05-26,2019,PHI,CHA,105,103,1,2
2026-05-26,2019,MEM,PHX,117,96,1,21
2026-05-26,2019,MIA,POR,120,111,1,9
2026-05-26,2019,MIL,ORL,113,91,1,22
2026-05-26,2019,SAS,LAL,110,106,1,4
2026-05-26,2019,SAC,WAS,116,112,1,4
2026-05-26,2019,BRK,GSW,114,120,0,6
2026-05-26,2019,OKC,PHX,117,110,1,7
2026-05-26,2019,LAC,WAS,136,104,1,32
2026-05-26,2019,IND,POR,93,103,0,10
2026-05-26,2019,PHI,ATL,113,92,1,21
2026-05-26,2019,MIA,SAC,113,123,0,10
2026-05-26,2019,NYK,BRK,115,96,1,19
2026-05-26,2019,CHI,GSW,124,149,0,25
2026-05-26,2019,MIL,TOR,124,109,1,15
2026-05-26,2019,MIN,LAL,124,120,1,4
2026-05-26,2019,DAL,UTA,104,113,0,9
2026-05-26,2025,UTA,SAS,88,106,0,18
2026-05-26,2019,NOP,BRK,117,115,1,2
2026-05-26,2019,HOU,LAC,113,133,0,20
2026-05-26,2019,NOP,LAC,116,109,1,7
2026-05-26,2019,DEN,SAC,126,112,1,14
2026-05-26,2019,ATL,DAL,111,104,1,7
2026-05-26,2019,CLE,BRK,86,102,0,16
2026-05-26,2019,MIA,NYK,110,87,1,23
2026-05-26,2019,TOR,MIN,112,105,1,7
2026-05-26,2019,CHI,CHA,112,110,1,2
2026-05-26,2019,HOU,UTA,89,100,0,11
2026-05-26,2019,SAS,IND,96,116,0,20
2026-05-26,2019,MIN,MIL,95,125,0,30
2026-05-26,2019,MIL,PHI,123,108,1,15
2026-05-26,2019,SAC,MEM,97,92,1,5
2026-05-26,2019,GSW,WAS,144,122,1,22
2026-05-26,2019,DET,CLE,110,103,1,7
2026-05-26,2019,ORL,POR,114,128,0,14
2026-05-26,2019,OKC,BOS,95,101,0,6
2026-05-26,2019,LAL,DEN,121,114,1,7
2026-05-26,2019,CHA,CHI,135,106,1,29
2026-05-26,2019,NYK,GSW,100,128,0,28
2026-05-26,2019,TOR,DAL,116,107,1,9
2026-05-26,2019,PHX,LAL,113,131,0,18
2026-05-26,2025,LAC,PHX,119,125,0,6
