date,season,home_team,away_team,home_pts,away_pts,home_win,margin
2026-05-26,2021,LAL,DAL,138,115,1,23
2026-05-26,2021,DEN,LAC,108,121,0,13
2026-05-26,2021,MEM,ATL,112,122,0,10
2026-05-26,2021,CHA,OKC,107,109,0,2
2026-05-26,2021,DET,CLE,119,128,0,9
2026-05-26,2021,BOS,MEM,126,107,1,19
2026-05-26,2021,WAS,ORL,120,130,0,10
2026-05-26,2021,CHI,IND,106,125,0,19
2026-05-26,2021,SAS,TOR,119,114,1,5
2026-05-26,2021,UTA,MIN,111,116,0,5
2026-05-26,2021,POR,HOU,128,126,1,2
2026-05-26,2021,SAC,PHX,106,103,1,3
2026-05-26,2021,LAC,DAL,73,124,0,51
2026-05-26,2021,NOP,SAS,98,95,1,3
2026-05-26,2021,WAS,ORL,113,120,0,7
2026-05-26,2021,CHA,BRK,106,104,1,2
2026-05-26,2021,NYK,PHI,89,109,0,20
2026-05-26,2022,OKC,PHI,103,115,0,12
2026-05-26,2021,DAL,CHA,99,118,0,19
2026-05-26,2021,LAC,POR,128,105,1,23
2026-05-26,2022,WAS,IND,135,134,1,1
2026-05-26,2022,CLE,CHA,112,123,0,11
2026-05-26,2022,BOS,TOR,83,115,0,32
2026-05-26,2022,PHI,BRK,109,114,0,5
2026-05-26,2022,HOU,OKC,124,91,1,33
2026-05-26,2022,CHI,NOP,128,112,1,16
2026-05-26,2022,DEN,SAS,102,96,1,6
2026-05-26,2022,LAL,PHX,105,115,0,10
2026-05-26,2022,SAC,UTA,101,110,0,9
2026-05-26,2022,CLE,ATL,101,95,1,6
2026-05-26,2022,IND,MIA,102,91,1,11
2026-05-26,2022,TOR,DAL,95,103,0,8
2026-05-26,2022,CHI,DET,97,82,1,15
2026-05-26,2022,MIN,NOP,96,89,1,7
2026-05-26,2022,SAS,MIL,111,121,0,10
2026-05-26,2022,POR,PHX,134,105,1,29
2026-05-26,2022,LAC,MEM,114,120,0,6
2026-05-26,2022,BRK,CHA,95,111,0,16
2026-05-26,2022,HOU,BOS,97,107,0,10
2026-05-26,2022,ORL,NYK,96,121,0,25
2026-05-26,2022,GSW,LAC,115,113,1,2
2026-05-26,2022,MIA,MIL,137,95,1,42
2026-05-26,2022,ATL,DAL,113,87,1,26
2026-05-26,2021,IND,CLE,119,99,1,20
2026-05-26,2021,WAS,CHI,130,133,0,3
2026-05-26,2021,ORL,PHI,92,116,0,24
2026-05-26,2021,HOU,SAC,122,119,1,3
2026-05-26,2021,TOR,NYK,100,83,1,17
2026-05-26,2021,OKC,NOP,80,113,0,33
2026-05-26,2021,UTA,PHX,95,106,0,11
2026-05-26,2022,MIL,BRK,127,104,1,23
2026-05-26,2022,LAL,GSW,114,121,0,7
2026-05-26,2021,SAS,LAL,107,121,0,14
2026-05-26,2022,CHA,IND,123,122,1,1
2026-05-26,2022,NYK,BOS,138,134,1,4
2026-05-26,2022,TOR,WAS,83,98,0,15
2026-05-26,2022,MEM,CLE,132,121,1,11
2026-05-26,2022,MIN,HOU,124,106,1,18
2026-05-26,2022,NOP,PHI,97,117,0,20
2026-05-26,2022,SAS,ORL,123,97,1,26
2026-05-26,2022,UTA,OKC,107,86,1,21
2026-05-26,2022,POR,SAC,121,124,0,3
2026-05-26,2022,PHX,DEN,98,110,0,12
2026-05-26,2022,DET,CHI,88,94,0,6
2026-05-26,2021,POR,UTA,100,120,0,20
2026-05-26,2023,CLE,WAS,117,107,1,10
2026-05-26,2023,OKC,MIN,106,116,0,10
2026-05-26,2025,ATL,BRK,120,116,1,4
2026-05-26,2025,MIA,ORL,97,116,0,19
2026-05-26,2025,PHI,MIL,109,124,0,15
2026-05-26,2025,TOR,CLE,106,136,0,30
2026-05-26,2025,HOU,CHA,105,110,0,5
2026-05-26,2025,NOP,CHI,123,111,1,12
2026-05-26,2025,UTA,MEM,124,126,0,2
2026-05-26,2025,LAC,PHX,113,116,0,3
2026-05-26,2025,POR,GSW,104,140,0,36
2026-05-26,2025,WAS,BOS,102,122,0,20
2026-05-26,2025,DAL,SAS,120,109,1,11
2026-05-26,2025,SAC,MIN,115,117,0,2
2026-05-26,2025,DEN,OKC,87,102,0,15
2026-05-26,2025,ORL,BRK,116,101,1,15
2026-05-26,2025,TOR,PHI,115,107,1,8
2026-05-26,2025,ATL,CHA,125,120,1,5
2026-05-26,2025,CLE,DET,113,101,1,12
2026-05-26,2025,NYK,IND,123,98,1,25
2026-05-26,2025,HOU,MEM,128,108,1,20
2026-05-26,2025,DET,IND,109,115,0,6
2026-05-26,2025,LAL,MIN,110,103,1,7
2026-05-26,2025,BOS,NYK,132,109,1,23
2026-05-26,2024,LAC,ORL,118,102,1,16
2026-05-26,2024,PHX,UTA,126,104,1,22
2026-05-26,2024,OKC,DEN,95,128,0,33
2026-05-26,2024,HOU,GSW,95,106,0,11
2026-05-26,2024,MIL,ATL,110,127,0,17
2026-05-26,2024,PHI,POR,126,98,1,28
2026-05-26,2024,LAC,SAS,123,83,1,40
2026-05-26,2024,SAC,LAL,132,127,1,5
2026-05-26,2024,IND,CHI,105,112,0,7
2026-05-26,2024,WAS,BOS,107,126,0,19
2026-05-26,2025,MIL,CHI,122,133,0,11
2026-05-26,2024,CHA,BRK,121,133,0,12
2026-05-26,2024,ATL,MIN,127,113,1,14
2026-05-26,2024,MEM,DAL,110,125,0,15
2026-05-26,2024,MIL,MIA,122,114,1,8
2026-05-26,2024,NOP,GSW,102,130,0,28
2026-05-26,2024,OKC,DET,124,112,1,12
2026-05-26,2024,DEN,UTA,110,102,1,8
2026-05-26,2024,LAL,ORL,106,103,1,3
2026-05-26,2024,CLE,NYK,91,109,0,18
2026-05-26,2024,PHX,SAS,114,115,0,1
2026-05-26,2024,TOR,POR,91,99,0,8
2026-05-26,2024,MIN,MIA,106,90,1,16
2026-05-26,2025,UTA,GSW,86,127,0,41
2026-05-26,2025,POR,NOP,103,105,0,2
2026-05-26,2025,SAC,POR,111,98,1,13
2026-05-26,2025,PHX,LAL,109,105,1,4
2026-05-26,2025,BRK,DEN,139,144,0,5
2026-05-26,2025,MIN,DAL,114,120,0,6
2026-05-26,2025,UTA,SAC,96,113,0,17
2026-05-26,2025,GSW,NOP,124,106,1,18
2026-05-26,2025,PHI,DET,95,105,0,10
2026-05-26,2025,WAS,ATL,133,120,1,13
2026-05-26,2025,IND,BOS,135,132,1,3
2026-05-26,2025,CLE,LAL,134,110,1,24
2026-05-26,2025,CHA,TOR,138,133,1,5
2026-05-26,2025,MIA,NYK,107,116,0,9
2026-05-26,2025,CHI,ORL,102,99,1,3
2026-05-26,2025,MEM,BRK,106,119,0,13
2026-05-26,2025,OKC,SAS,105,93,1,12
2026-05-26,2025,GSW,NOP,104,89,1,15
2026-05-26,2025,LAC,POR,105,106,0,1
2026-05-26,2025,MEM,MIL,122,99,1,23
2026-05-26,2025,DAL,HOU,102,108,0,6
2026-05-26,2025,DAL,UTA,110,102,1,8
2026-05-26,2025,MEM,CHI,123,126,0,3
2026-05-26,2025,SAS,HOU,101,106,0,5
2026-05-26,2025,NYK,CLE,104,110,0,6
2026-05-26,2025,DEN,LAC,104,109,0,5
2026-05-26,2025,WAS,CLE,116,135,0,19
2026-05-26,2025,DET,BOS,118,124,0,6
2026-05-26,2025,CHA,MIA,106,114,0,8
2026-05-26,2025,MEM,ORL,124,111,1,13
2026-05-26,2025,MIN,TOR,112,101,1,11
2026-05-26,2025,CHI,OKC,95,114,0,19
2026-05-26,2025,SAS,HOU,109,106,1,3
2026-05-26,2025,PHX,DAL,114,102,1,12
2026-05-26,2025,LAL,PHX,123,116,1,7
2026-05-26,2025,LAL,SAC,131,127,1,4
2026-05-26,2025,POR,NOP,125,103,1,22
2026-05-26,2025,BRK,MIL,115,102,1,13
2026-05-26,2025,OKC,ATL,128,104,1,24
2026-05-26,2025,GSW,LAC,104,112,0,8
2026-05-26,2025,ORL,IND,119,115,1,4
2026-05-26,2025,ATL,WAS,119,121,0,2
2026-05-26,2025,BOS,MIL,119,108,1,11
2026-05-26,2025,TOR,DEN,125,127,0,2
2026-05-26,2025,MIA,DET,106,98,1,8
2026-05-26,2025,IND,PHI,114,118,0,4
2026-05-26,2023,NOP,UTA,121,122,0,1
2026-05-26,2024,TOR,PHI,107,114,0,7
2026-05-26,2024,NOP,NYK,96,87,1,9
2026-05-26,2023,BRK,DAL,125,129,0,4
2026-05-26,2023,OKC,LAC,118,110,1,8
2026-05-26,2023,GSW,MIA,123,110,1,13
2026-05-26,2023,SAC,MEM,110,125,0,15
2026-05-26,2023,DET,ATL,112,136,0,24
2026-05-26,2023,ORL,CHA,113,93,1,20
2026-05-26,2023,BOS,CLE,123,132,0,9
2026-05-26,2023,TOR,PHI,90,112,0,22
2026-05-26,2023,WAS,IND,117,127,0,10
2026-05-26,2023,MIL,NYK,119,108,1,11
2026-05-26,2023,MIN,LAL,111,102,1,9
2026-05-26,2023,SAS,CHI,129,124,1,5
2026-05-26,2023,DEN,UTA,117,101,1,16
2026-05-26,2023,PHX,NOP,124,111,1,13
2026-05-26,2023,POR,HOU,125,111,1,14
2026-05-26,2023,SAC,MIA,119,113,1,6
2026-05-26,2023,CHA,GSW,120,113,1,7
2026-05-26,2023,BRK,IND,116,125,0,9
2026-05-26,2023,CHI,PHI,109,114,0,5
2026-05-26,2023,POR,MIA,98,119,0,21
2026-05-26,2023,DEN,LAL,110,99,1,11
2026-05-26,2023,UTA,HOU,109,101,1,8
2026-05-26,2023,MIN,SAS,134,122,1,12
2026-05-26,2023,GSW,SAC,130,125,1,5
2026-05-26,2023,LAC,PHX,95,112,0,17
2026-05-26,2023,PHI,IND,120,106,1,14
2026-05-26,2023,MIA,TOR,90,98,0,8
2026-05-26,2023,NYK,ORL,115,102,1,13
2026-05-26,2023,CHI,BOS,120,102,1,18
2026-05-26,2023,HOU,UTA,114,108,1,6
2026-05-26,2023,MEM,BRK,134,124,1,10
2026-05-26,2023,MIN,SAS,106,115,0,9
2026-05-26,2023,MIL,ATL,123,115,1,8
2026-05-26,2023,POR,DEN,135,110,1,25
2026-05-26,2023,NOP,DAL,113,111,1,2
2026-05-26,2023,OKC,LAC,108,94,1,14
2026-05-26,2023,PHX,GSW,134,105,1,29
2026-05-26,2023,CLE,ORL,103,92,1,11
2026-05-26,2023,DET,ATL,113,118,0,5
2026-05-26,2023,MIL,BRK,110,99,1,11
2026-05-26,2023,NYK,CHA,134,131,1,3
2026-05-26,2023,TOR,PHI,119,109,1,10
2026-05-26,2023,CHI,IND,124,109,1,15
2026-05-26,2023,WAS,DET,120,99,1,21
2026-05-26,2024,CLE,IND,113,125,0,12
2026-05-26,2023,DAL,OKC,111,117,0,6
2026-05-26,2023,LAC,NOP,91,112,0,21
2026-05-26,2024,CHI,OKC,104,124,0,20
2026-05-26,2024,UTA,SAC,114,130,0,16
2026-05-26,2024,SAS,DAL,119,126,0,7
2026-05-26,2024,LAC,POR,123,111,1,12
