date,season,home_team,away_team,home_pts,away_pts
2026-05-26 20:00:00,2016,Chicago Bulls,Cleveland Cavaliers,97,95
2026-05-26 20:00:00,2016,Atlanta Hawks,Detroit Pistons,94,106
2026-05-26 22:30:00,2016,Golden State Warriors,New Orleans Pelicans,111,95
2026-05-26 19:00:00,2016,Orlando Magic,Washington Wizards,87,88
2026-05-26 19:30:00,2016,Boston Celtics,Philadelphia 76ers,112,95
2026-05-26 19:30:00,2016,Brooklyn Nets,Chicago Bulls,100,115
2026-05-26 19:30:00,2016,Detroit Pistons,Utah Jazz,92,87
2026-05-26 19:30:00,2016,Toronto Raptors,Indiana Pacers,106,99
2026-05-26 19:30:00,2016,Miami Heat,Charlotte Hornets,104,94
2026-05-26 20:00:00,2016,Milwaukee Bucks,New York Knicks,97,122
2026-05-26 20:00:00,2016,Oklahoma City Thunder,San Antonio Spurs,112,106
2026-05-26 20:00:00,2016,Memphis Grizzlies,Cleveland Cavaliers,76,106
2026-05-26 20:00:00,2016,Houston Rockets,Denver Nuggets,85,105
2026-05-26 22:00:00,2016,Phoenix Suns,Dallas Mavericks,95,111
2026-05-26 22:00:00,2016,Portland Trail Blazers,New Orleans Pelicans,112,94
2026-05-26 22:00:00,2016,Sacramento Kings,Los Angeles Clippers,104,111
2026-05-26 22:30:00,2016,Los Angeles Lakers,Minnesota Timberwolves,111,112
2026-05-26 19:00:00,2016,Indiana Pacers,Memphis Grizzlies,103,112
2026-05-26 20:00:00,2016,New York Knicks,Atlanta Hawks,101,112
2026-05-26 22:30:00,2016,Los Angeles Clippers,Dallas Mavericks,104,88
2026-05-26 19:00:00,2016,Cleveland Cavaliers,Miami Heat,102,92
2026-05-26 19:00:00,2016,Philadelphia 76ers,Utah Jazz,71,99
2026-05-26 19:00:00,2016,Orlando Magic,Oklahoma City Thunder,136,139
2026-05-26 19:30:00,2016,Boston Celtics,Toronto Raptors,103,113
2026-05-26 19:30:00,2016,Detroit Pistons,Chicago Bulls,98,94
2026-05-26 20:00:00,2016,Atlanta Hawks,Charlotte Hornets,97,94
2026-05-26 20:00:00,2016,Milwaukee Bucks,Washington Wizards,113,118
2026-05-26 20:30:00,2016,San Antonio Spurs,Brooklyn Nets,102,75
2026-05-26 21:00:00,2016,Denver Nuggets,Minnesota Timberwolves,78,95
2026-05-26 21:30:00,2016,Houston Rockets,Golden State Warriors,92,112
2026-05-26 22:00:00,2016,Sacramento Kings,Los Angeles Lakers,132,114
2026-05-26 22:30:00,2016,Phoenix Suns,Portland Trail Blazers,110,92
2026-05-26 19:00:00,2016,Indiana Pacers,Utah Jazz,76,97
2026-05-26 19:00:00,2016,Washington Wizards,New York Knicks,110,117
2026-05-26 19:30:00,2016,New Orleans Pelicans,Golden State Warriors,120,134
2026-05-26 20:00:00,2016,Memphis Grizzlies,Brooklyn Nets,101,91
2026-05-26 22:00:00,2016,Portland Trail Blazers,Phoenix Suns,90,101
2026-05-26 22:30:00,2016,Los Angeles Clippers,Sacramento Kings,114,109
2026-05-26 19:30:00,2017,Cleveland Cavaliers,New York Knicks,117,88
2026-05-26 22:00:00,2017,Portland Trail Blazers,Utah Jazz,113,104
2026-05-26 22:30:00,2017,Golden State Warriors,San Antonio Spurs,100,129
2026-05-26 19:00:00,2017,Indiana Pacers,Dallas Mavericks,130,121
2026-05-26 19:00:00,2017,Orlando Magic,Miami Heat,96,108
2026-05-26 19:30:00,2017,Toronto Raptors,Detroit Pistons,109,91
2026-05-26 19:30:00,2017,Boston Celtics,Brooklyn Nets,122,117
2026-05-26 20:00:00,2017,Milwaukee Bucks,Charlotte Hornets,96,107
2026-05-26 20:00:00,2017,New Orleans Pelicans,Denver Nuggets,102,107
2026-05-26 20:00:00,2017,Memphis Grizzlies,Minnesota Timberwolves,102,98
2026-05-26 20:00:00,2017,Philadelphia 76ers,Oklahoma City Thunder,97,103
2026-05-26 22:00:00,2017,Phoenix Suns,Sacramento Kings,94,113
2026-05-26 22:30:00,2017,Los Angeles Lakers,Houston Rockets,120,114
2026-05-26 19:30:00,2017,Atlanta Hawks,Washington Wizards,114,99
2026-05-26 20:00:00,2017,Chicago Bulls,Boston Celtics,105,99
2026-05-26 22:30:00,2017,Portland Trail Blazers,Los Angeles Clippers,106,114
2026-05-26 22:30:00,2017,Sacramento Kings,San Antonio Spurs,94,102
2026-05-26 19:00:00,2017,Toronto Raptors,Cleveland Cavaliers,91,94
2026-05-26 19:30:00,2017,Brooklyn Nets,Indiana Pacers,103,94
2026-05-26 19:30:00,2017,Detroit Pistons,Orlando Magic,108,82
2026-05-26 20:00:00,2017,Oklahoma City Thunder,Phoenix Suns,113,110
2026-05-26 20:00:00,2017,Miami Heat,Charlotte Hornets,91,97
2026-05-26 20:30:00,2017,Dallas Mavericks,Houston Rockets,98,106
2026-05-26 21:00:00,2017,Utah Jazz,Los Angeles Lakers,96,89
2026-05-26 21:30:00,2017,New Orleans Pelicans,Golden State Warriors,114,122
2026-05-26 12:30:00,2017,Philadelphia 76ers,Atlanta Hawks,72,104
2026-05-26 19:00:00,2017,Charlotte Hornets,Boston Celtics,98,104
2026-05-26 19:30:00,2017,Cleveland Cavaliers,Orlando Magic,105,99
2026-05-26 19:30:00,2017,New York Knicks,Memphis Grizzlies,111,104
