date,season,home_team,away_team,home_pts,away_pts
2026-05-26 20:00:00,2017,San Antonio Spurs,New Orleans Pelicans,98,79
2026-05-26 20:00:00,2017,Milwaukee Bucks,Brooklyn Nets,110,108
2026-05-26 20:00:00,2017,Chicago Bulls,Indiana Pacers,118,101
2026-05-26 21:00:00,2017,Denver Nuggets,Portland Trail Blazers,113,115
2026-05-26 22:30:00,2017,Sacramento Kings,Minnesota Timberwolves,106,103
2026-05-26 16:30:00,2017,Los Angeles Clippers,Utah Jazz,88,75
2026-05-26 18:00:00,2017,Detroit Pistons,Milwaukee Bucks,98,83
2026-05-26 18:00:00,2017,Miami Heat,San Antonio Spurs,99,106
2026-05-26 18:00:00,2017,Phoenix Suns,Golden State Warriors,100,106
2026-05-26 19:00:00,2017,Oklahoma City Thunder,Los Angeles Lakers,113,96
2026-05-26 20:00:00,2017,Houston Rockets,Dallas Mavericks,93,92
2026-05-26 20:00:00,2017,Memphis Grizzlies,Washington Wizards,112,103
2026-05-26 19:30:00,2017,Atlanta Hawks,Sacramento Kings,106,95
2026-05-26 19:30:00,2017,Brooklyn Nets,Chicago Bulls,88,118
2026-05-26 19:30:00,2017,Toronto Raptors,Denver Nuggets,105,102
2026-05-26 22:30:00,2017,Los Angeles Clippers,Phoenix Suns,116,98
2026-05-26 20:01:00,2018,Cleveland Cavaliers,Boston Celtics,102,99
2026-05-26 22:30:00,2018,Golden State Warriors,Houston Rockets,121,122
2026-05-26 19:00:00,2018,Detroit Pistons,Charlotte Hornets,102,90
2026-05-26 19:00:00,2018,Indiana Pacers,Brooklyn Nets,140,131
2026-05-26 19:00:00,2018,Orlando Magic,Miami Heat,116,109
2026-05-26 19:00:00,2018,Washington Wizards,Philadelphia 76ers,120,115
2026-05-26 19:30:00,2018,Boston Celtics,Milwaukee Bucks,100,108
2026-05-26 20:00:00,2018,Memphis Grizzlies,New Orleans Pelicans,103,91
2026-05-26 20:30:00,2018,Dallas Mavericks,Atlanta Hawks,111,117
2026-05-26 21:00:00,2018,Utah Jazz,Denver Nuggets,106,96
2026-05-26 21:30:00,2018,San Antonio Spurs,Minnesota Timberwolves,107,99
2026-05-26 22:00:00,2018,Phoenix Suns,Portland Trail Blazers,76,124
2026-05-26 22:00:00,2018,Sacramento Kings,Houston Rockets,100,105
2026-05-26 19:30:00,2018,Toronto Raptors,Chicago Bulls,117,100
2026-05-26 20:00:00,2018,Oklahoma City Thunder,New York Knicks,105,84
2026-05-26 22:30:00,2018,Los Angeles Lakers,Los Angeles Clippers,92,108
2026-05-26 19:00:00,2018,Charlotte Hornets,Atlanta Hawks,109,91
2026-05-26 19:00:00,2018,Indiana Pacers,Portland Trail Blazers,96,114
2026-05-26 19:00:00,2018,Milwaukee Bucks,Cleveland Cavaliers,97,116
2026-05-26 19:00:00,2018,Philadelphia 76ers,Boston Celtics,92,102
2026-05-26 19:00:00,2018,Washington Wizards,Detroit Pistons,115,111
2026-05-26 19:30:00,2018,Brooklyn Nets,Orlando Magic,126,121
2026-05-26 20:00:00,2018,Minnesota Timberwolves,Utah Jazz,100,97
2026-05-26 20:30:00,2018,Dallas Mavericks,Sacramento Kings,88,93
2026-05-26 21:30:00,2018,New Orleans Pelicans,Golden State Warriors,120,128
2026-05-26 22:00:00,2018,Phoenix Suns,Los Angeles Lakers,130,132
2026-05-26 19:30:00,2018,Toronto Raptors,Philadelphia 76ers,128,94
2026-05-26 20:00:00,2018,Chicago Bulls,San Antonio Spurs,77,87
2026-05-26 20:00:00,2018,Cleveland Cavaliers,Orlando Magic,93,114
2026-05-26 20:00:00,2018,Houston Rockets,Dallas Mavericks,107,91
2026-05-26 20:00:00,2018,Memphis Grizzlies,Golden State Warriors,111,101
2026-05-26 20:00:00,2018,Miami Heat,Indiana Pacers,112,108
2026-05-26 20:00:00,2018,New York Knicks,Detroit Pistons,107,111
2026-05-26 20:30:00,2018,Milwaukee Bucks,Portland Trail Blazers,113,110
2026-05-26 21:00:00,2018,Denver Nuggets,Sacramento Kings,96,79
2026-05-26 21:00:00,2018,Utah Jazz,Oklahoma City Thunder,96,87
2026-05-26 22:30:00,2018,Los Angeles Clippers,Phoenix Suns,130,88
2026-05-26 15:30:00,2018,Brooklyn Nets,Atlanta Hawks,116,104
2026-05-26 19:00:00,2018,Oklahoma City Thunder,Minnesota Timberwolves,113,115
2026-05-26 21:30:00,2018,Los Angeles Lakers,New Orleans Pelicans,112,119
2026-05-26 19:00:00,2018,Detroit Pistons,Philadelphia 76ers,86,97
2026-05-26 19:30:00,2018,Miami Heat,Atlanta Hawks,104,93
2026-05-26 20:00:00,2018,Houston Rockets,Memphis Grizzlies,90,98
2026-05-26 20:00:00,2018,Milwaukee Bucks,Charlotte Hornets,103,94
2026-05-26 20:30:00,2018,Dallas Mavericks,Golden State Warriors,103,133
2026-05-26 20:30:00,2018,San Antonio Spurs,Toronto Raptors,101,97
2026-05-26 21:00:00,2018,Denver Nuggets,Washington Wizards,104,109
2026-05-26 22:00:00,2018,Phoenix Suns,Sacramento Kings,117,115
2026-05-26 19:00:00,2018,Cleveland Cavaliers,Chicago Bulls,119,112
2026-05-26 19:00:00,2018,Orlando Magic,Brooklyn Nets,125,121
2026-05-26 19:30:00,2018,Boston Celtics,New York Knicks,110,89
2026-05-26 20:00:00,2018,Minnesota Timberwolves,Indiana Pacers,107,130
2026-05-26 22:00:00,2018,Portland Trail Blazers,New Orleans Pelicans,103,93
2026-05-26 22:30:00,2018,Los Angeles Clippers,Utah Jazz,102,84
2026-05-26 19:00:00,2018,Charlotte Hornets,Denver Nuggets,110,93
2026-05-26 19:00:00,2018,Detroit Pistons,Minnesota Timberwolves,122,101
2026-05-26 19:00:00,2018,Philadelphia 76ers,Houston Rockets,104,105
2026-05-26 19:30:00,2018,Brooklyn Nets,Cleveland Cavaliers,112,107
2026-05-26 20:00:00,2018,Miami Heat,San Antonio Spurs,100,117
2026-05-26 20:00:00,2018,Oklahoma City Thunder,Indiana Pacers,114,96
2026-05-26 20:30:00,2018,Dallas Mavericks,Memphis Grizzlies,103,94
2026-05-26 22:00:00,2018,Phoenix Suns,Utah Jazz,97,88
2026-05-26 22:30:00,2018,Golden State Warriors,Toronto Raptors,117,112
2026-05-26 22:30:00,2018,Los Angeles Lakers,Washington Wizards,102,99
2026-05-26 20:00:00,2018,Chicago Bulls,Atlanta Hawks,91,86
2026-05-26 20:00:00,2018,Memphis Grizzlies,Dallas Mavericks,96,91
2026-05-26 20:00:00,2018,Milwaukee Bucks,Boston Celtics,89,96
2026-05-26 22:00:00,2018,Portland Trail Blazers,Los Angeles Clippers,103,104
2026-05-26 22:30:00,2018,Sacramento Kings,New Orleans Pelicans,106,114
2026-05-26 19:00:00,2018,Charlotte Hornets,Houston Rockets,93,109
2026-05-26 19:00:00,2018,Orlando Magic,San Antonio Spurs,114,87
2026-05-26 19:30:00,2018,Atlanta Hawks,Denver Nuggets,100,105
2026-05-26 19:30:00,2018,New York Knicks,Brooklyn Nets,107,86
2026-05-26 20:00:00,2018,Minnesota Timberwolves,Oklahoma City Thunder,119,116
2026-05-26 22:30:00,2018,Golden State Warriors,Washington Wizards,120,117
2026-05-26 22:30:00,2018,Los Angeles Lakers,Toronto Raptors,92,101
2026-05-26 19:00:00,2018,New Orleans Pelicans,Cleveland Cavaliers,123,101
2026-05-26 20:00:00,2018,Chicago Bulls,Oklahoma City Thunder,69,101
2026-05-26 20:00:00,2018,Memphis Grizzlies,Houston Rockets,103,89
2026-05-26 20:00:00,2018,Miami Heat,Boston Celtics,90,96
2026-05-26 20:30:00,2018,Dallas Mavericks,Philadelphia 76ers,110,112
2026-05-26 21:00:00,2018,Utah Jazz,Los Angeles Lakers,96,81
2026-05-26 22:00:00,2018,Portland Trail Blazers,Phoenix Suns,114,107
2026-05-26 22:30:00,2018,Los Angeles Clippers,Detroit Pistons,87,95
2026-05-26 15:30:00,2018,Atlanta Hawks,Milwaukee Bucks,106,117
2026-05-26 16:30:00,2018,Indiana Pacers,San Antonio Spurs,97,94
2026-05-26 18:00:00,2018,Brooklyn Nets,Denver Nuggets,111,124
2026-05-26 18:00:00,2018,Charlotte Hornets,Orlando Magic,120,113
2026-05-26 18:00:00,2018,Sacramento Kings,Washington Wizards,83,110
2026-05-26 19:00:00,2018,Cleveland Cavaliers,New York Knicks,95,114
2026-05-26 20:30:00,2018,Golden State Warriors,Detroit Pistons,107,115
2026-05-26 19:30:00,2018,Boston Celtics,San Antonio Spurs,108,94
2026-05-26 19:30:00,2018,Miami Heat,Minnesota Timberwolves,122,125
2026-05-26 19:30:00,2018,New York Knicks,Denver Nuggets,116,110
2026-05-26 20:00:00,2018,Houston Rockets,Philadelphia 76ers,107,115
2026-05-26 20:00:00,2018,Memphis Grizzlies,Charlotte Hornets,99,104
2026-05-26 20:00:00,2018,New Orleans Pelicans,Orlando Magic,99,115
2026-05-26 21:00:00,2018,Utah Jazz,Dallas Mavericks,104,89
2026-05-26 22:00:00,2018,Portland Trail Blazers,Toronto Raptors,85,99
2026-05-26 22:30:00,2018,Los Angeles Clippers,Golden State Warriors,113,141
2026-05-26 19:00:00,2018,Indiana Pacers,Sacramento Kings,101,83
2026-05-26 19:30:00,2018,Brooklyn Nets,Phoenix Suns,114,122
2026-05-26 20:00:00,2018,Milwaukee Bucks,Oklahoma City Thunder,91,110
2026-05-26 22:30:00,2018,Los Angeles Lakers,Detroit Pistons,113,93
2026-05-26 20:00:00,2019,Boston Celtics,Philadelphia 76ers,105,87
2026-05-26 22:30:00,2019,Golden State Warriors,Oklahoma City Thunder,108,100
2026-05-26 19:00:00,2019,Charlotte Hornets,Milwaukee Bucks,112,113
2026-05-26 19:00:00,2019,Detroit Pistons,Brooklyn Nets,103,100
2026-05-26 19:00:00,2019,Indiana Pacers,Memphis Grizzlies,111,83
2026-05-26 19:00:00,2019,Orlando Magic,Miami Heat,104,101
2026-05-26 19:30:00,2019,New York Knicks,Atlanta Hawks,126,107
2026-05-26 19:30:00,2019,Toronto Raptors,Cleveland Cavaliers,116,104
2026-05-26 20:00:00,2019,Houston Rockets,New Orleans Pelicans,112,131
2026-05-26 20:30:00,2019,San Antonio Spurs,Minnesota Timberwolves,112,108
2026-05-26 22:00:00,2019,Sacramento Kings,Utah Jazz,117,123
2026-05-26 22:30:00,2019,Los Angeles Clippers,Denver Nuggets,98,107
2026-05-26 22:30:00,2019,Phoenix Suns,Dallas Mavericks,121,100
2026-05-26 20:00:00,2019,Philadelphia 76ers,Chicago Bulls,127,108
2026-05-26 20:00:00,2019,Washington Wizards,Miami Heat,112,113
2026-05-26 22:30:00,2019,Portland Trail Blazers,Los Angeles Lakers,128,119
2026-05-26 19:00:00,2019,Orlando Magic,Charlotte Hornets,88,120
2026-05-26 19:30:00,2019,Brooklyn Nets,New York Knicks,107,105
2026-05-26 20:00:00,2019,Memphis Grizzlies,Atlanta Hawks,131,117
2026-05-26 20:00:00,2019,Minnesota Timberwolves,Cleveland Cavaliers,131,123
2026-05-26 20:00:00,2019,New Orleans Pelicans,Sacramento Kings,149,129
2026-05-26 20:00:00,2019,Toronto Raptors,Boston Celtics,113,101
2026-05-26 20:30:00,2019,Milwaukee Bucks,Indiana Pacers,118,101
2026-05-26 22:30:00,2019,Los Angeles Clippers,Oklahoma City Thunder,108,92
2026-05-26 22:30:00,2019,Utah Jazz,Golden State Warriors,123,124
2026-05-26 19:00:00,2019,Indiana Pacers,Brooklyn Nets,132,112
2026-05-26 19:00:00,2019,Washington Wizards,Toronto Raptors,113,117
2026-05-26 19:30:00,2019,New York Knicks,Boston Celtics,101,103
2026-05-26 19:30:00,2019,Philadelphia 76ers,Orlando Magic,116,115
2026-05-26 20:00:00,2019,Chicago Bulls,Detroit Pistons,116,118
2026-05-26 20:00:00,2019,Miami Heat,Charlotte Hornets,112,113
2026-05-26 20:30:00,2019,Dallas Mavericks,Minnesota Timberwolves,140,136
2026-05-26 21:00:00,2019,Denver Nuggets,Phoenix Suns,119,91
2026-05-26 22:00:00,2019,Portland Trail Blazers,San Antonio Spurs,121,108
2026-05-26 22:30:00,2019,Los Angeles Lakers,Houston Rockets,115,124
2026-05-26 18:00:00,2019,Cleveland Cavaliers,Atlanta Hawks,111,133
2026-05-26 19:00:00,2019,Oklahoma City Thunder,Sacramento Kings,120,131
2026-05-26 20:00:00,2019,Denver Nuggets,Golden State Warriors,100,98
2026-05-26 21:00:00,2019,Los Angeles Clippers,Houston Rockets,115,112
2026-05-26 19:30:00,2019,Boston Celtics,Orlando Magic,90,93
2026-05-26 19:30:00,2019,Toronto Raptors,Charlotte Hornets,127,106
2026-05-26 20:00:00,2019,Milwaukee Bucks,New York Knicks,124,113
2026-05-26 20:00:00,2019,Minnesota Timberwolves,Indiana Pacers,101,91
2026-05-26 20:30:00,2019,Dallas Mavericks,Chicago Bulls,115,109
2026-05-26 21:00:00,2019,Utah Jazz,Memphis Grizzlies,84,92
2026-05-26 22:00:00,2019,Portland Trail Blazers,Washington Wizards,124,125
2026-05-26 22:30:00,2019,Golden State Warriors,Phoenix Suns,123,103
2026-05-26 22:30:00,2019,Los Angeles Lakers,San Antonio Spurs,142,143
2026-05-26 19:00:00,2019,Detroit Pistons,Philadelphia 76ers,133,132
2026-05-26 20:00:00,2019,New Orleans Pelicans,Los Angeles Clippers,116,109
2026-05-26 21:00:00,2019,Denver Nuggets,Sacramento Kings,126,112
2026-05-26 19:00:00,2019,Atlanta Hawks,Dallas Mavericks,111,104
2026-05-26 19:00:00,2019,Cleveland Cavaliers,Brooklyn Nets,86,102
2026-05-26 19:30:00,2019,Miami Heat,New York Knicks,110,87
2026-05-26 19:30:00,2019,Toronto Raptors,Minnesota Timberwolves,112,105
2026-05-26 20:00:00,2019,Chicago Bulls,Charlotte Hornets,112,110
2026-05-26 20:00:00,2019,Houston Rockets,Utah Jazz,89,100
2026-05-26 20:30:00,2019,San Antonio Spurs,Indiana Pacers,96,116
2026-05-26 21:30:00,2019,Milwaukee Bucks,Philadelphia 76ers,123,108
2026-05-26 22:00:00,2019,Phoenix Suns,Los Angeles Lakers,113,131
2026-05-26 22:00:00,2019,Sacramento Kings,Memphis Grizzlies,97,92
2026-05-26 22:30:00,2019,Golden State Warriors,Washington Wizards,144,122
2026-05-26 19:00:00,2019,Detroit Pistons,Cleveland Cavaliers,110,103
2026-05-26 19:00:00,2019,Orlando Magic,Portland Trail Blazers,114,128
2026-05-26 20:00:00,2019,Oklahoma City Thunder,Boston Celtics,95,101
2026-05-26 22:30:00,2019,Los Angeles Lakers,Denver Nuggets,121,114
2026-05-26 19:00:00,2019,Charlotte Hornets,Chicago Bulls,135,106
2026-05-26 19:30:00,2019,New York Knicks,Golden State Warriors,100,128
2026-05-26 19:30:00,2019,Toronto Raptors,Dallas Mavericks,116,107
2026-05-26 20:00:00,2019,Houston Rockets,Los Angeles Clippers,113,133
2026-05-26 20:00:00,2019,Minnesota Timberwolves,Milwaukee Bucks,95,125
2026-05-26 20:00:00,2019,New Orleans Pelicans,Brooklyn Nets,117,115
2026-05-26 22:00:00,2019,Sacramento Kings,Washington Wizards,116,112
2026-05-26 19:00:00,2019,Detroit Pistons,Boston Celtics,89,109
2026-05-26 19:00:00,2019,New Orleans Pelicans,Utah Jazz,111,132
2026-05-26 19:30:00,2019,Atlanta Hawks,Chicago Bulls,85,97
2026-05-26 19:30:00,2019,Cleveland Cavaliers,Indiana Pacers,107,119
2026-05-26 19:30:00,2019,Philadelphia 76ers,Charlotte Hornets,105,103
2026-05-26 20:00:00,2019,Memphis Grizzlies,Phoenix Suns,117,96
2026-05-26 20:00:00,2019,Miami Heat,Portland Trail Blazers,120,111
2026-05-26 20:30:00,2019,Milwaukee Bucks,Orlando Magic,113,91
2026-05-26 20:30:00,2019,San Antonio Spurs,Los Angeles Lakers,110,106
2026-05-26 17:00:00,2019,Brooklyn Nets,Golden State Warriors,114,120
2026-05-26 19:00:00,2019,Dallas Mavericks,Utah Jazz,104,113
2026-05-26 19:00:00,2019,Oklahoma City Thunder,Phoenix Suns,117,110
2026-05-26 21:30:00,2019,Los Angeles Clippers,Washington Wizards,136,104
2026-05-26 19:00:00,2019,Indiana Pacers,Portland Trail Blazers,93,103
2026-05-26 19:00:00,2019,Philadelphia 76ers,Atlanta Hawks,113,92
2026-05-26 19:30:00,2019,Miami Heat,Sacramento Kings,113,123
2026-05-26 19:30:00,2019,New York Knicks,Brooklyn Nets,115,96
2026-05-26 20:00:00,2019,Chicago Bulls,Golden State Warriors,124,149
2026-05-26 20:00:00,2019,Milwaukee Bucks,Toronto Raptors,124,109
2026-05-26 20:00:00,2019,Minnesota Timberwolves,Los Angeles Lakers,124,120
2026-05-26 20:30:00,2019,San Antonio Spurs,Dallas Mavericks,113,108
2026-05-26 21:00:00,2019,Denver Nuggets,New Orleans Pelicans,116,111
2026-05-26 19:00:00,2019,Charlotte Hornets,Miami Heat,125,113
2026-05-26 19:00:00,2019,Cleveland Cavaliers,Atlanta Hawks,136,114
2026-05-26 19:00:00,2019,Orlando Magic,Sacramento Kings,99,107
2026-05-26 19:30:00,2019,Boston Celtics,Detroit Pistons,108,105
2026-05-26 19:30:00,2019,Toronto Raptors,Philadelphia 76ers,129,112
2026-05-26 20:00:00,2019,Houston Rockets,Portland Trail Blazers,85,104
2026-05-26 20:00:00,2019,Memphis Grizzlies,Washington Wizards,107,95
2026-05-26 20:00:00,2019,Oklahoma City Thunder,Los Angeles Clippers,128,110
2026-05-26 19:30:00,2019,Brooklyn Nets,Detroit Pistons,120,119
2026-05-26 20:00:00,2019,Chicago Bulls,Denver Nuggets,107,108
2026-05-26 20:00:00,2019,Minnesota Timberwolves,Utah Jazz,128,125
2026-05-26 20:00:00,2019,New York Knicks,Indiana Pacers,101,107
2026-05-26 22:30:00,2019,Golden State Warriors,New Orleans Pelicans,131,121
2026-05-26 22:30:00,2019,Los Angeles Lakers,Dallas Mavericks,114,113
2026-05-26 22:30:00,2019,Phoenix Suns,San Antonio Spurs,90,120
2026-05-26 20:00:00,2020,Toronto Raptors,New Orleans Pelicans,130,122
2026-05-26 22:30:00,2020,Los Angeles Clippers,Los Angeles Lakers,112,102
2026-05-26 19:00:00,2020,Charlotte Hornets,Chicago Bulls,126,125
2026-05-26 19:00:00,2020,Indiana Pacers,Detroit Pistons,110,119
2026-05-26 19:00:00,2020,Orlando Magic,Cleveland Cavaliers,94,85
2026-05-26 19:30:00,2020,Brooklyn Nets,Minnesota Timberwolves,126,127
2026-05-26 19:30:00,2020,Miami Heat,Memphis Grizzlies,120,101
2026-05-26 19:30:00,2020,Philadelphia 76ers,Boston Celtics,107,93
2026-05-26 20:30:00,2020,Dallas Mavericks,Washington Wizards,108,100
2026-05-26 20:30:00,2020,San Antonio Spurs,New York Knicks,120,111
2026-05-26 21:00:00,2020,Utah Jazz,Oklahoma City Thunder,100,95
2026-05-26 22:00:00,2020,Phoenix Suns,Sacramento Kings,124,95
2026-05-26 22:00:00,2020,Portland Trail Blazers,Denver Nuggets,100,108
2026-05-26 19:00:00,2020,Detroit Pistons,Atlanta Hawks,100,117
2026-05-26 20:00:00,2020,Houston Rockets,Milwaukee Bucks,111,117
2026-05-26 22:30:00,2020,Golden State Warriors,Los Angeles Clippers,122,141
2026-05-26 19:00:00,2020,Boston Celtics,Toronto Raptors,112,106
2026-05-26 19:00:00,2020,Charlotte Hornets,Minnesota Timberwolves,99,121
2026-05-26 19:30:00,2020,Brooklyn Nets,New York Knicks,113,109
2026-05-26 20:00:00,2020,Memphis Grizzlies,Chicago Bulls,102,110
2026-05-26 20:00:00,2020,New Orleans Pelicans,Dallas Mavericks,116,123
2026-05-26 20:00:00,2020,Oklahoma City Thunder,Washington Wizards,85,97
2026-05-26 21:00:00,2020,Denver Nuggets,Phoenix Suns,108,107
2026-05-26 22:00:00,2020,Sacramento Kings,Portland Trail Blazers,112,122
2026-05-26 22:30:00,2020,Los Angeles Lakers,Utah Jazz,95,86
2026-05-26 17:00:00,2020,Milwaukee Bucks,Miami Heat,126,131
2026-05-26 19:00:00,2020,Detroit Pistons,Philadelphia 76ers,111,117
2026-05-26 19:30:00,2020,Atlanta Hawks,Orlando Magic,103,99
2026-05-26 19:30:00,2020,New York Knicks,Boston Celtics,95,118
2026-05-26 20:00:00,2020,Chicago Bulls,Toronto Raptors,84,108
2026-05-26 20:00:00,2020,Cleveland Cavaliers,Indiana Pacers,110,99
2026-05-26 20:00:00,2020,Houston Rockets,New Orleans Pelicans,126,123
2026-05-26 20:30:00,2020,San Antonio Spurs,Washington Wizards,124,122
2026-05-26 21:00:00,2020,Utah Jazz,Sacramento Kings,113,81
2026-05-26 22:00:00,2020,Phoenix Suns,Los Angeles Clippers,130,122
2026-05-26 15:30:00,2020,Oklahoma City Thunder,Golden State Warriors,120,92
2026-05-26 18:00:00,2020,Memphis Grizzlies,Brooklyn Nets,134,133
2026-05-26 19:00:00,2020,Dallas Mavericks,Portland Trail Blazers,119,121
2026-05-26 19:00:00,2020,Minnesota Timberwolves,Miami Heat,116,109
2026-05-26 21:30:00,2020,Los Angeles Lakers,Charlotte Hornets,120,101
2026-05-26 19:00:00,2020,New York Knicks,Chicago Bulls,105,98
2026-05-26 19:00:00,2020,Detroit Pistons,Indiana Pacers,96,94
2026-05-26 19:30:00,2020,Toronto Raptors,Orlando Magic,104,95
2026-05-26 19:30:00,2020,Atlanta Hawks,Philadelphia 76ers,103,105
2026-05-26 20:00:00,2020,Houston Rockets,Oklahoma City Thunder,116,112
2026-05-26 20:00:00,2020,Milwaukee Bucks,Cleveland Cavaliers,129,112
2026-05-26 20:00:00,2020,New Orleans Pelicans,Golden State Warriors,123,134
2026-05-26 20:30:00,2020,San Antonio Spurs,Portland Trail Blazers,113,110
2026-05-26 22:00:00,2020,Phoenix Suns,Utah Jazz,95,96
2026-05-26 22:00:00,2020,Sacramento Kings,Denver Nuggets,94,101
2026-05-26 22:30:00,2020,Los Angeles Clippers,Charlotte Hornets,111,96
2026-05-26 19:30:00,2020,Miami Heat,Atlanta Hawks,112,97
2026-05-26 21:00:00,2020,Denver Nuggets,Dallas Mavericks,106,109
2026-05-26 22:30:00,2020,Los Angeles Lakers,Memphis Grizzlies,120,91
2026-05-26 19:00:00,2020,Cleveland Cavaliers,Chicago Bulls,117,111
2026-05-26 19:00:00,2020,Orlando Magic,New York Knicks,95,83
2026-05-26 19:00:00,2020,Philadelphia 76ers,Minnesota Timberwolves,117,95
2026-05-26 19:30:00,2020,Boston Celtics,Milwaukee Bucks,116,105
